station,valid,lon,lat,tmpc,dwpc,drct,sknt,mslp,vsby,gust,wxcodes,peak_wind_gust
FRM,2019-02-24 00:00,-94.4156,43.6439,M,M,360.00,18.00,M,0.25,M,+SN FZFG,M
HIB,2019-02-24 00:00,-92.8390,47.3866,M,M,0.00,0.00,M,6.00,M,BR,M
MSP,2019-02-24 00:00,-93.2313,44.8854,M,M,30.00,8.00,M,6.00,M,HZ,M
FCM,2019-02-24 00:00,-93.4700,44.8300,M,M,10.00,7.00,M,5.00,M,BR,M
STC,2019-02-24 00:00,-94.0513,45.5433,M,M,360.00,5.00,M,4.00,M,BR,M
RST,2019-02-24 00:00,-92.4916,43.9041,M,M,30.00,16.00,M,1.75,M,FZRA BR,M
BRD,2019-02-24 00:00,-94.1308,46.4047,M,M,10.00,4.00,M,6.00,M,HZ,M
STP,2019-02-24 00:00,-93.0600,44.9345,M,M,10.00,10.00,M,7.00,M,M,M
DLH,2019-02-24 00:00,-92.1936,46.8421,M,M,60.00,10.00,M,4.00,M,BR,M
AXN,2019-02-24 00:00,-95.3947,45.8663,M,M,330.00,8.00,M,5.00,M,HZ,M
MKT,2019-02-24 00:00,-93.9200,44.2200,M,M,10.00,13.00,M,1.75,M,BR,M
INL,2019-02-24 00:00,-93.3981,48.5614,M,M,300.00,3.00,M,10.00,M,M,M
BDE,2019-02-24 00:00,-94.6122,48.7284,M,M,340.00,5.00,M,10.00,M,M,M
OTG,2019-02-24 00:00,-95.5792,43.6551,M,M,350.00,21.00,M,0.75,M,-SN BR,M
TVF,2019-02-24 00:00,-96.1850,48.0657,M,M,330.00,8.00,M,4.00,M,BR,M
PKD,2019-02-24 00:00,-95.0700,46.9000,M,M,330.00,6.00,M,5.00,M,BR,M
GPZ,2019-02-24 00:00,-93.5097,47.2111,M,M,340.00,3.00,M,10.00,M,M,M
MML,2019-02-24 00:00,-95.8200,44.4500,M,M,M,18.00,M,1.75,M,-SN BR,M
RWF,2019-02-24 00:00,-95.0820,44.5469,M,M,330.00,13.00,M,1.25,18.00,-SN BR,M
FRM,2019-02-24 00:05,-94.4156,43.6439,M,M,360.00,17.00,M,0.25,M,+SN FZFG,M
MKT,2019-02-24 00:05,-93.9200,44.2200,M,M,10.00,13.00,M,2.00,M,BR,M
STC,2019-02-24 00:05,-94.0513,45.5433,M,M,350.00,5.00,M,5.00,M,BR,M
MIC,2019-02-24 00:05,-93.3539,45.0620,M,M,10.00,8.00,M,5.00,M,BR,M
STP,2019-02-24 00:05,-93.0600,44.9345,M,M,10.00,9.00,M,7.00,M,M,M
INL,2019-02-24 00:05,-93.3981,48.5614,M,M,0.00,0.00,M,10.00,M,M,M
MSP,2019-02-24 00:05,-93.2313,44.8854,M,M,20.00,11.00,M,6.00,M,HZ,M
OTG,2019-02-24 00:05,-95.5792,43.6551,M,M,350.00,18.00,M,0.75,M,-SN BR,M
AXN,2019-02-24 00:05,-95.3947,45.8663,M,M,330.00,7.00,M,5.00,M,HZ,M
RWF,2019-02-24 00:05,-95.0820,44.5469,M,M,330.00,9.00,M,1.25,M,-SN BR,M
FCM,2019-02-24 00:05,-93.4700,44.8300,M,M,20.00,7.00,M,5.00,M,BR,M
TVF,2019-02-24 00:05,-96.1850,48.0657,M,M,320.00,8.00,M,4.00,M,BR,M
RST,2019-02-24 00:05,-92.4916,43.9041,M,M,20.00,16.00,M,1.75,M,FZRA BR,M
PKD,2019-02-24 00:05,-95.0700,46.9000,M,M,320.00,6.00,M,5.00,M,BR,M
GPZ,2019-02-24 00:05,-93.5097,47.2111,M,M,0.00,0.00,M,10.00,M,M,M
BRD,2019-02-24 00:05,-94.1308,46.4047,M,M,10.00,4.00,M,6.00,M,HZ,M
BDE,2019-02-24 00:05,-94.6122,48.7284,M,M,330.00,5.00,M,10.00,M,M,M
DLH,2019-02-24 00:05,-92.1936,46.8421,M,M,60.00,10.00,M,4.00,M,BR,M
HIB,2019-02-24 00:05,-92.8390,47.3866,M,M,0.00,0.00,M,7.00,M,M,M
MML,2019-02-24 00:05,-95.8200,44.4500,M,M,M,19.00,M,1.75,M,-SN BR,M
EVM,2019-02-24 00:08,-92.4981,47.4251,-2.00,-3.00,0.00,0.00,M,10.00,M,M,M
COQ,2019-02-24 00:08,-92.5036,46.7011,-2.00,-3.00,90.00,3.00,M,3.00,M,-SN,M
MKT,2019-02-24 00:09,-93.9200,44.2200,-1.00,-2.00,10.00,12.00,M,2.00,M,BR,M
FRM,2019-02-24 00:10,-94.4156,43.6439,M,M,360.00,20.00,M,0.25,M,+SN FZFG,M
MIC,2019-02-24 00:10,-93.3539,45.0620,M,M,10.00,7.00,M,5.00,M,BR,M
MSP,2019-02-24 00:10,-93.2313,44.8854,M,M,20.00,10.00,M,6.00,M,HZ,M
OTG,2019-02-24 00:10,-95.5792,43.6551,M,M,350.00,20.00,M,0.75,M,-SN BR,M
AXN,2019-02-24 00:10,-95.3947,45.8663,M,M,340.00,8.00,M,6.00,M,HZ,M
PKD,2019-02-24 00:10,-95.0700,46.9000,M,M,330.00,6.00,M,6.00,M,BR,M
TVF,2019-02-24 00:10,-96.1850,48.0657,M,M,320.00,9.00,M,4.00,M,-SN BR,M
MML,2019-02-24 00:10,-95.8200,44.4500,M,M,M,19.00,M,1.75,M,-SN BR,M
MKT,2019-02-24 00:10,-93.9200,44.2200,M,M,10.00,13.00,M,2.00,M,BR,M
BRD,2019-02-24 00:10,-94.1308,46.4047,M,M,360.00,3.00,M,6.00,M,HZ,M
CDD,2019-02-24 00:10,-92.4830,48.2660,-3.00,-3.00,0.00,0.00,M,5.00,M,-SN,M
RST,2019-02-24 00:10,-92.4916,43.9041,M,M,10.00,15.00,M,2.50,M,FZRA BR,M
RWF,2019-02-24 00:10,-95.0820,44.5469,M,M,330.00,11.00,M,1.25,18.00,-SN BR,M
GPZ,2019-02-24 00:10,-93.5097,47.2111,M,M,350.00,3.00,M,10.00,M,M,M
INL,2019-02-24 00:10,-93.3981,48.5614,M,M,0.00,0.00,M,9.00,M,M,M
STC,2019-02-24 00:10,-94.0513,45.5433,M,M,350.00,5.00,M,5.00,M,BR,M
FCM,2019-02-24 00:10,-93.4700,44.8300,M,M,20.00,7.00,M,5.00,M,BR,M
DLH,2019-02-24 00:10,-92.1936,46.8421,M,M,60.00,8.00,M,4.00,M,BR,M
BDE,2019-02-24 00:10,-94.6122,48.7284,M,M,340.00,5.00,M,10.00,M,M,M
STP,2019-02-24 00:10,-93.0600,44.9345,M,M,360.00,6.00,M,8.00,M,M,M
ORB,2019-02-24 00:13,-92.8560,48.0159,-2.00,-4.00,0.00,0.00,M,10.00,M,M,M
FOZ,2019-02-24 00:13,-93.6502,47.7828,-2.00,-4.00,0.00,0.00,M,10.00,M,M,M
ORB,2019-02-24 00:14,-92.8560,48.0159,-2.00,-4.00,0.00,0.00,M,10.00,M,M,M
FOZ,2019-02-24 00:14,-93.6502,47.7828,-2.00,-4.00,0.00,0.00,M,10.00,M,M,M
ROX,2019-02-24 00:14,-95.6971,48.8560,-4.00,-7.00,280.00,5.00,M,5.00,M,-SN,M
OTG,2019-02-24 00:14,-95.5792,43.6551,-4.00,-6.00,350.00,20.00,M,0.75,25.00,-SN BR,M
FRM,2019-02-24 00:15,-94.4156,43.6439,M,M,360.00,17.00,M,0.25,M,+SN FZFG,M
MKT,2019-02-24 00:15,-93.9200,44.2200,M,M,10.00,14.00,M,2.50,M,BR,M
GPZ,2019-02-24 00:15,-93.5097,47.2111,M,M,340.00,3.00,M,10.00,M,M,M
STC,2019-02-24 00:15,-94.0513,45.5433,M,M,360.00,4.00,M,5.00,M,BR,M
FCM,2019-02-24 00:15,-93.4700,44.8300,M,M,20.00,6.00,M,5.00,M,BR,M
RST,2019-02-24 00:15,-92.4916,43.9041,M,M,360.00,14.00,M,3.00,M,UP BR,M
TVF,2019-02-24 00:15,-96.1850,48.0657,M,M,300.00,7.00,M,4.00,M,-SN BR,M
MML,2019-02-24 00:15,-95.8200,44.4500,M,M,M,20.00,M,2.00,M,-SN BR,M
PKD,2019-02-24 00:15,-95.0700,46.9000,M,M,330.00,6.00,M,6.00,M,BR,M
AXN,2019-02-24 00:15,-95.3947,45.8663,M,M,340.00,10.00,M,6.00,M,HZ,M
BRD,2019-02-24 00:15,-94.1308,46.4047,M,M,0.00,0.00,M,6.00,M,HZ,M
OTG,2019-02-24 00:15,-95.5792,43.6551,M,M,350.00,20.00,M,0.75,M,-SN BR,M
MIC,2019-02-24 00:15,-93.3539,45.0620,M,M,10.00,7.00,M,6.00,M,BR,M
HIB,2019-02-24 00:15,-92.8390,47.3866,M,M,0.00,0.00,M,7.00,M,M,M
STP,2019-02-24 00:15,-93.0600,44.9345,M,M,350.00,6.00,M,7.00,M,M,M
MSP,2019-02-24 00:15,-93.2313,44.8854,M,M,20.00,11.00,M,6.00,M,HZ,M
DLH,2019-02-24 00:15,-92.1936,46.8421,M,M,70.00,8.00,M,4.00,M,BR,M
INL,2019-02-24 00:15,-93.3981,48.5614,M,M,0.00,0.00,M,8.00,M,UP,M
BDE,2019-02-24 00:15,-94.6122,48.7284,M,M,330.00,4.00,M,10.00,M,M,M
RWF,2019-02-24 00:15,-95.0820,44.5469,M,M,330.00,13.00,M,1.00,M,-SN BR,M
LVN,2019-02-24 00:15,-93.2273,44.6252,-1.00,-1.00,10.00,7.00,M,5.00,M,BR,M
SYN,2019-02-24 00:15,-93.0163,44.4755,-0.28,-1.61,20.00,11.00,M,4.00,M,BR,M
Y49,2019-02-24 00:15,-94.6453,47.1595,-3.28,-5.50,330.00,4.00,M,10.00,M,M,M
D39,2019-02-24 00:15,-94.9334,45.7066,-2.61,-4.61,310.00,8.00,M,7.00,M,M,M
CFE,2019-02-24 00:15,-93.8433,45.1590,-1.28,-2.61,M,M,M,5.00,M,BR,M
BJI,2019-02-24 00:15,-94.9337,47.5094,-4.61,-6.00,300.00,9.00,M,4.00,M,BR,M
04W,2019-02-24 00:15,-92.8952,46.0229,0.00,-2.00,20.00,3.00,M,10.00,M,M,M
3N8,2019-02-24 00:15,-95.9281,47.2605,-6.28,-7.61,300.00,9.00,M,5.00,M,BR,M
MGG,2019-02-24 00:15,-93.9856,45.2360,-1.00,-1.61,360.00,5.00,M,4.00,M,BR,M
DTL,2019-02-24 00:15,-95.8856,46.8252,-5.00,-6.00,330.00,9.00,M,5.00,M,BR,M
AEL,2019-02-24 00:15,-93.3672,43.6815,-1.00,-1.00,360.00,15.00,M,0.50,20.00,+SN,M
CNB,2019-02-24 00:15,-96.2660,44.7295,-4.61,-7.00,300.00,14.00,M,7.00,M,M,M
MOX,2019-02-24 00:15,-95.9672,45.5660,-6.00,-7.00,340.00,16.00,M,4.00,M,M,M
JKJ,2019-02-24 00:15,-96.6640,46.8393,-11.00,-12.00,320.00,7.00,M,7.00,M,M,M
FKA,2019-02-24 00:15,-92.1797,43.6767,-0.89,-1.39,30.00,10.00,M,1.25,15.00,UP,M
BFW,2019-02-24 00:15,-91.4098,47.2521,-2.00,-2.00,40.00,9.00,M,3.00,M,BR,M
BBB,2019-02-24 00:15,-95.6506,45.3319,-4.00,-6.00,10.00,13.00,M,7.00,M,M,M
HCD,2019-02-24 00:15,-94.3825,44.8599,-1.00,-1.72,340.00,11.00,M,2.00,M,-SN,M
PWC,2019-02-24 00:15,-94.3817,46.7248,-3.00,-6.00,340.00,6.00,M,1.00,M,M,M
CQM,2019-02-24 00:15,-92.6894,47.8219,-2.00,-3.00,0.00,0.00,M,10.00,M,M,M
ONA,2019-02-24 00:15,-91.7083,44.0772,1.00,0.00,40.00,5.00,M,3.00,M,-VCTSDZ,M
PQN,2019-02-24 00:15,-96.3004,43.9821,-4.00,-6.00,10.00,12.00,M,3.00,18.00,BR,M
ULM,2019-02-24 00:15,-94.5000,44.3200,-2.00,-3.00,10.00,6.00,M,2.50,M,-SN,M
21D,2019-02-24 00:15,-92.8557,44.9975,0.00,-1.00,10.00,6.00,M,7.00,M,M,M
CKC,2019-02-24 00:15,-90.3829,47.8383,-4.00,-7.00,40.00,8.00,M,4.00,M,BR,M
BDH,2019-02-24 00:15,-95.1304,45.1177,-3.00,-5.00,320.00,16.00,M,5.00,19.00,M,M
ADC,2019-02-24 00:15,-95.2109,46.4503,-4.00,-6.00,320.00,9.00,M,5.00,M,BR,M
9MN,2019-02-24 00:15,-92.4831,44.0198,-0.50,-0.39,10.00,12.00,M,1.50,15.00,M,M
TWM,2019-02-24 00:15,-91.7450,47.0492,-3.00,-6.00,50.00,6.00,M,10.00,M,M,M
TKC,2019-02-24 00:15,-95.6072,44.2491,-3.72,-4.28,340.00,15.00,M,1.00,20.00,-SN,M
LYV,2019-02-24 00:15,-96.2158,43.6212,-3.00,-6.00,360.00,12.00,M,1.25,20.00,-SN,M
AIT,2019-02-24 00:15,-93.6768,46.5484,-3.00,-4.00,350.00,3.00,M,7.00,M,M,M
JMR,2019-02-24 00:15,-93.2718,45.8861,-1.00,-3.00,0.00,0.00,M,5.00,M,-SN,M
GYL,2019-02-24 00:15,-94.0812,44.7560,-0.61,-0.50,360.00,8.00,M,3.00,M,BR,M
MVE,2019-02-24 00:15,-95.7103,44.9691,-4.00,-6.00,20.00,14.00,M,7.00,20.00,M,M
MJQ,2019-02-24 00:15,-94.9865,43.6500,-3.00,-3.00,350.00,11.00,M,0.75,M,M,M
CKN,2019-02-24 00:15,-96.6214,47.8417,-15.00,-17.00,0.00,0.00,M,10.00,M,M,M
MWM,2019-02-24 00:15,-95.1094,43.9134,-4.00,-4.00,340.00,17.00,M,1.50,M,-SN,M
VVV,2019-02-24 00:15,-96.4244,45.3057,-8.00,-10.00,330.00,13.00,M,7.00,17.00,M,M
TOB,2019-02-24 00:15,-92.8315,44.0180,-2.00,-2.00,10.00,12.00,M,1.00,M,-SN,M
SAZ,2019-02-24 00:15,-94.8066,46.3809,-3.00,-6.00,320.00,6.00,M,7.00,M,M,M
RRT,2019-02-24 00:15,-95.3483,48.9414,-4.00,-7.00,270.00,5.00,M,4.00,M,-SN,M
PNM,2019-02-24 00:15,-93.6082,45.5599,-1.00,-2.00,20.00,4.00,M,5.00,M,BR,M
DXX,2019-02-24 00:15,-96.1779,44.9864,-4.00,-7.00,330.00,16.00,M,7.00,M,M,M
HZX,2019-02-24 00:15,-93.3098,46.6188,-1.00,-2.00,360.00,3.00,M,7.00,M,M,M
GHW,2019-02-24 00:15,-95.3204,45.6439,-4.00,-5.00,310.00,7.00,M,5.00,M,BR,M
ELO,2019-02-24 00:15,-91.8371,47.8287,-3.00,-4.00,100.00,5.00,M,10.00,M,M,M
GDB,2019-02-24 00:15,-95.5560,44.7533,-3.00,-4.72,330.00,16.00,M,4.00,21.00,-SN,M
SGS,2019-02-24 00:15,-93.0329,44.8571,0.00,-1.61,10.00,6.00,M,7.00,M,M,M
RGK,2019-02-24 00:15,-92.4868,44.5915,0.00,-2.00,40.00,8.00,M,4.00,M,BR,M
FFM,2019-02-24 00:15,-96.1567,46.2844,-6.00,-8.00,340.00,14.00,M,5.00,M,BR,M
AUM,2019-02-24 00:15,-92.9333,43.6647,1.00,-3.00,10.00,12.00,M,3.00,16.00,-VCTSSN,M
AQP,2019-02-24 00:15,-96.0043,45.2275,-4.00,-7.00,320.00,13.00,M,7.00,17.00,M,M
CBG,2019-02-24 00:15,-93.2642,45.5575,0.00,-5.00,10.00,3.00,M,5.00,M,HZ,M
DYT,2019-02-24 00:15,-92.0434,46.7219,-2.00,-2.00,50.00,12.00,M,7.00,M,M,M
MZH,2019-02-24 00:15,-92.8048,46.4186,-1.00,-2.00,50.00,3.00,M,5.00,M,-SN,M
FGN,2019-02-24 00:15,-94.9028,49.3183,-5.00,-6.00,0.00,0.00,M,7.00,M,-SN,M
FSE,2019-02-24 00:15,-95.7735,47.5928,-7.00,-9.00,310.00,8.00,M,5.00,M,BR,M
Y63,2019-02-24 00:15,-95.9920,45.9861,-5.78,-6.72,280.00,12.00,M,7.00,M,M,M
21D,2019-02-24 00:16,-92.8557,44.9975,0.00,-1.00,360.00,6.00,M,7.00,M,M,M
FKA,2019-02-24 00:16,-92.1797,43.6767,-0.89,-1.39,30.00,10.00,M,1.25,15.00,UP,M
PWC,2019-02-24 00:16,-94.3817,46.7248,-3.00,-6.00,340.00,5.00,M,1.00,M,M,M
ONA,2019-02-24 00:16,-91.7083,44.0772,1.00,0.00,30.00,6.00,M,3.00,M,-VCTSDZ,M
MVE,2019-02-24 00:16,-95.7103,44.9691,-4.00,-6.00,20.00,14.00,M,7.00,20.00,M,M
TOB,2019-02-24 00:16,-92.8315,44.0180,-2.00,-2.00,10.00,12.00,M,1.00,M,-SN,M
PQN,2019-02-24 00:16,-96.3004,43.9821,-4.00,-6.00,10.00,11.00,M,3.00,18.00,BR,M
BFW,2019-02-24 00:16,-91.4098,47.2521,-2.00,-2.00,50.00,9.00,M,3.00,M,BR,M
VWU,2019-02-24 00:16,-94.5167,48.1539,-4.00,-6.00,0.00,0.00,M,10.00,M,M,M
DXX,2019-02-24 00:16,-96.1779,44.9864,-4.00,-7.00,330.00,15.00,M,7.00,M,M,M
CQM,2019-02-24 00:16,-92.6894,47.8219,-2.00,-3.00,0.00,0.00,M,10.00,M,M,M
MJQ,2019-02-24 00:16,-94.9865,43.6500,-3.00,-3.00,350.00,11.00,M,0.75,M,M,M
LJF,2019-02-24 00:16,-94.5072,45.0971,-1.00,-1.00,340.00,9.00,M,4.00,M,BR,M
CKC,2019-02-24 00:16,-90.3829,47.8383,-4.00,-7.00,50.00,10.00,M,4.00,M,BR,M
FGN,2019-02-24 00:16,-94.9028,49.3183,-5.00,-6.00,0.00,0.00,M,7.00,M,-SN,M
SGS,2019-02-24 00:16,-93.0329,44.8571,0.00,-1.61,10.00,5.00,M,7.00,M,M,M
CKN,2019-02-24 00:16,-96.6214,47.8417,-15.00,-17.00,0.00,0.00,M,10.00,M,M,M
AIT,2019-02-24 00:16,-93.6768,46.5484,-3.00,-4.00,360.00,3.00,M,7.00,M,M,M
PNM,2019-02-24 00:16,-93.6082,45.5599,-1.00,-2.00,20.00,4.00,M,5.00,M,BR,M
Y63,2019-02-24 00:16,-95.9920,45.9861,-5.78,-6.72,280.00,13.00,M,7.00,M,M,M
ROS,2019-02-24 00:16,-92.9530,45.6980,-1.22,-2.72,20.00,4.00,M,7.00,M,M,M
SAZ,2019-02-24 00:16,-94.8066,46.3809,-3.00,-6.00,320.00,5.00,M,7.00,M,M,M
VVV,2019-02-24 00:16,-96.4244,45.3057,-8.00,-10.00,330.00,12.00,M,10.00,17.00,M,M
AUM,2019-02-24 00:16,-92.9333,43.6647,1.00,-3.00,10.00,12.00,M,3.00,16.00,-VCTSSN,M
14Y,2019-02-24 00:16,-94.8739,45.8983,-2.00,-5.00,340.00,7.00,M,5.00,M,BR,M
MZH,2019-02-24 00:16,-92.8048,46.4186,-1.00,-2.00,50.00,3.00,M,5.00,M,-SN,M
HZX,2019-02-24 00:16,-93.3098,46.6188,-1.00,-2.00,360.00,3.00,M,7.00,M,M,M
GDB,2019-02-24 00:16,-95.5560,44.7533,-3.00,-4.72,320.00,17.00,M,4.00,21.00,-SN,M
FFM,2019-02-24 00:16,-96.1567,46.2844,-6.00,-8.00,340.00,14.00,M,5.00,M,BR,M
HCO,2019-02-24 00:16,-96.9430,48.7527,-14.00,-16.00,330.00,6.00,M,7.00,M,M,M
FSE,2019-02-24 00:16,-95.7735,47.5928,-7.00,-9.00,310.00,8.00,M,5.00,M,BR,M
DYT,2019-02-24 00:16,-92.0434,46.7219,-2.00,-2.00,50.00,12.00,M,7.00,M,M,M
RWF,2019-02-24 00:18,-95.0820,44.5469,-3.89,-5.00,340.00,12.00,M,0.75,M,-SN BR,M
ACQ,2019-02-24 00:19,-93.5529,44.0735,0.00,-2.00,30.00,10.00,M,1.50,14.00,-SN,M
ETH,2019-02-24 00:19,-96.5435,45.7805,-8.00,-11.00,300.00,12.00,M,10.00,M,M,M
MML,2019-02-24 00:19,-95.8200,44.4500,-5.00,-6.00,340.00,18.00,M,2.50,M,-SN BR,M
GPZ,2019-02-24 00:20,-93.5097,47.2111,M,M,340.00,4.00,M,9.00,M,M,M
HIB,2019-02-24 00:20,-92.8390,47.3866,M,M,0.00,0.00,M,7.00,M,M,M
FCM,2019-02-24 00:20,-93.4700,44.8300,M,M,20.00,5.00,M,5.00,M,BR,M
MKT,2019-02-24 00:20,-93.9200,44.2200,M,M,10.00,13.00,M,2.50,M,BR,M
MIC,2019-02-24 00:20,-93.3539,45.0620,M,M,10.00,9.00,M,6.00,M,BR,M
MSP,2019-02-24 00:20,-93.2313,44.8854,M,M,20.00,10.00,M,6.00,M,HZ,M
STC,2019-02-24 00:20,-94.0513,45.5433,M,M,360.00,4.00,M,5.00,M,BR,M
RST,2019-02-24 00:20,-92.4916,43.9041,M,M,10.00,15.00,M,3.00,M,UP BR,M
FRM,2019-02-24 00:20,-94.4156,43.6439,M,M,360.00,19.00,M,0.50,M,SN FZFG,M
MML,2019-02-24 00:20,-95.8200,44.4500,M,M,M,18.00,M,2.50,M,-SN BR,M
AXN,2019-02-24 00:20,-95.3947,45.8663,M,M,330.00,9.00,M,7.00,M,M,M
TVF,2019-02-24 00:20,-96.1850,48.0657,M,M,310.00,7.00,M,4.00,M,-SN BR,M
PKD,2019-02-24 00:20,-95.0700,46.9000,M,M,320.00,7.00,M,6.00,M,BR,M
RWF,2019-02-24 00:20,-95.0820,44.5469,M,M,330.00,11.00,M,0.75,17.00,-SN BR,M
BRD,2019-02-24 00:20,-94.1308,46.4047,M,M,0.00,0.00,M,6.00,M,HZ,M
DLH,2019-02-24 00:20,-92.1936,46.8421,M,M,60.00,7.00,M,4.00,M,BR,M
STP,2019-02-24 00:20,-93.0600,44.9345,M,M,10.00,8.00,M,7.00,M,M,M
BDE,2019-02-24 00:20,-94.6122,48.7284,M,M,340.00,5.00,M,10.00,M,M,M
OTG,2019-02-24 00:20,-95.5792,43.6551,M,M,350.00,20.00,M,0.75,M,-SN BR,M
INL,2019-02-24 00:20,-93.3981,48.5614,-1.72,-2.78,290.00,3.00,M,8.00,M,UP,M
OTG,2019-02-24 00:21,-95.5792,43.6551,-5.00,-6.00,360.00,21.00,M,0.75,M,-SN BR,M
RST,2019-02-24 00:21,-92.4916,43.9041,-1.11,-1.11,10.00,15.00,M,1.00,M,-FZRA BR,M
XVG,2019-02-24 00:24,-94.2039,46.9900,-3.00,-5.00,320.00,4.00,M,10.00,M,M,M
PKD,2019-02-24 00:25,-95.0700,46.9000,M,M,330.00,9.00,M,6.00,M,BR,M
RWF,2019-02-24 00:25,-95.0820,44.5469,M,M,330.00,12.00,M,0.75,17.00,-SN BR,M
BDE,2019-02-24 00:25,-94.6122,48.7284,M,M,340.00,4.00,M,10.00,M,M,M
RST,2019-02-24 00:25,-92.4916,43.9041,M,M,10.00,15.00,M,3.00,M,-FZRA BR,M
INL,2019-02-24 00:25,-93.3981,48.5614,M,M,280.00,3.00,M,8.00,M,UP,M
STP,2019-02-24 00:25,-93.0600,44.9345,M,M,360.00,7.00,M,7.00,M,M,M
OTG,2019-02-24 00:25,-95.5792,43.6551,M,M,360.00,18.00,M,0.75,M,-SN BR,M
TVF,2019-02-24 00:25,-96.1850,48.0657,M,M,310.00,8.00,M,4.00,M,BR,M
MML,2019-02-24 00:25,-95.8200,44.4500,M,M,340.00,18.00,M,4.00,M,-SN BR,M
AXN,2019-02-24 00:25,-95.3947,45.8663,M,M,330.00,9.00,M,7.00,M,M,M
CDD,2019-02-24 00:25,-92.4830,48.2660,-3.00,-3.00,0.00,0.00,M,7.00,M,-SN,M
MKT,2019-02-24 00:25,-93.9200,44.2200,M,M,10.00,12.00,M,3.50,M,BR,M
DLH,2019-02-24 00:25,-92.1936,46.8421,M,M,70.00,8.00,M,4.00,M,BR,M
FCM,2019-02-24 00:25,-93.4700,44.8300,M,M,30.00,6.00,M,5.00,M,BR,M
BRD,2019-02-24 00:25,-94.1308,46.4047,M,M,0.00,0.00,M,6.00,M,HZ,M
MIC,2019-02-24 00:25,-93.3539,45.0620,M,M,10.00,8.00,M,6.00,M,BR,M
STC,2019-02-24 00:25,-94.0513,45.5433,M,M,350.00,5.00,M,5.00,M,BR,M
FRM,2019-02-24 00:25,-94.4156,43.6439,-2.00,-2.00,350.00,18.00,M,0.75,M,-SN BR,M
GPZ,2019-02-24 00:25,-93.5097,47.2111,M,M,340.00,3.00,M,9.00,M,M,M
MSP,2019-02-24 00:25,-93.2313,44.8854,M,M,10.00,11.00,M,6.00,M,HZ,M
MML,2019-02-24 00:27,-95.8200,44.4500,-5.00,-7.00,350.00,19.00,M,4.00,M,-SN BR,M
MKT,2019-02-24 00:27,-93.9200,44.2200,-1.00,-2.00,10.00,12.00,M,3.00,M,BR,M
STC,2019-02-24 00:27,-94.0513,45.5433,-1.72,-3.28,340.00,5.00,M,5.00,M,BR,M
COQ,2019-02-24 00:28,-92.5036,46.7011,-2.00,-3.00,100.00,3.00,M,3.00,M,-SN,M
EVM,2019-02-24 00:28,-92.4981,47.4251,-2.00,-3.00,0.00,0.00,M,10.00,M,M,M
MML,2019-02-24 00:30,-95.8200,44.4500,M,M,340.00,16.00,M,5.00,M,-SN BR,M
PKD,2019-02-24 00:30,-95.0700,46.9000,M,M,330.00,11.00,M,6.00,M,BR,M
FRM,2019-02-24 00:30,-94.4156,43.6439,M,M,360.00,22.00,M,0.75,M,-SN BR,M
MIC,2019-02-24 00:30,-93.3539,45.0620,M,M,10.00,7.00,M,6.00,M,BR,M
STC,2019-02-24 00:30,-94.0513,45.5433,M,M,340.00,5.00,M,5.00,M,BR,M
STP,2019-02-24 00:30,-93.0600,44.9345,M,M,360.00,6.00,M,7.00,M,M,M
RST,2019-02-24 00:30,-92.4916,43.9041,M,M,10.00,16.00,M,3.00,M,FZRA BR,M
FCM,2019-02-24 00:30,-93.4700,44.8300,M,M,20.00,8.00,M,5.00,M,BR,M
INL,2019-02-24 00:30,-93.3981,48.5614,M,M,290.00,3.00,M,8.00,M,UP,M
HIB,2019-02-24 00:30,-92.8390,47.3866,M,M,350.00,3.00,M,7.00,M,M,M
DLH,2019-02-24 00:30,-92.1936,46.8421,M,M,90.00,8.00,M,4.00,M,BR,M
OTG,2019-02-24 00:30,-95.5792,43.6551,M,M,360.00,17.00,M,1.00,M,-SN BR,M
AXN,2019-02-24 00:30,-95.3947,45.8663,M,M,340.00,9.00,M,7.00,M,M,M
BDE,2019-02-24 00:30,-94.6122,48.7284,M,M,330.00,4.00,M,10.00,M,M,M
GPZ,2019-02-24 00:30,-93.5097,47.2111,M,M,330.00,4.00,M,8.00,M,M,M
TVF,2019-02-24 00:30,-96.1850,48.0657,M,M,320.00,9.00,M,5.00,M,BR,M
RWF,2019-02-24 00:30,-95.0820,44.5469,M,M,330.00,13.00,M,0.75,19.00,-SN BR,M
BRD,2019-02-24 00:30,-94.1308,46.4047,M,M,0.00,0.00,M,6.00,M,HZ,M
MSP,2019-02-24 00:30,-93.2313,44.8854,M,M,20.00,10.00,M,6.00,M,HZ,M
ORB,2019-02-24 00:33,-92.8560,48.0159,-2.00,-4.00,0.00,0.00,M,10.00,M,-SN,M
FOZ,2019-02-24 00:33,-93.6502,47.7828,-2.00,-4.00,0.00,0.00,M,10.00,M,M,M
AQP,2019-02-24 00:33,-96.0043,45.2275,-5.00,-7.00,320.00,15.00,M,7.00,M,M,M
ROX,2019-02-24 00:33,-95.6971,48.8560,-4.00,-7.00,280.00,7.00,M,4.00,M,-SN,M
RST,2019-02-24 00:34,-92.4916,43.9041,-1.11,-1.11,10.00,16.00,M,1.00,M,FZRA BR,M
OTG,2019-02-24 00:34,-95.5792,43.6551,-5.00,-6.00,360.00,18.00,M,1.00,M,-SN BR,M
