station,valid,lon[unit="degrees_east"],lat[unit="degrees_north"],tmpc[unit="Celsius"],dwpc[unit="Celsius"],drct[unit="degrees"],sknt[unit="knots"],mslp[unit="hectoPascal"],vsby[unit="US_statute_mile"],gust[unit="knots"],wxcodes,gustmax[unit="knots"]
FRM,2019-02-24 15:35,-94.4156,43.6439,M,M,300.00,29.00,M,0.50,M,-SN FZFG,M
MKT,2019-02-24 15:35,-93.9200,44.2200,M,M,290.00,25.00,M,0.75,M,-SN BR,M
STP,2019-02-24 15:35,-93.0600,44.9345,M,M,290.00,25.00,M,2.50,M,M,M
STC,2019-02-24 15:35,-94.0513,45.5433,M,M,310.00,20.00,M,1.75,M,UP,M
MSP,2019-02-24 15:35,-93.2313,44.8854,M,M,300.00,22.00,M,6.00,27.00,M,M
MML,2019-02-24 15:35,-95.8200,44.4500,M,M,310.00,32.00,M,0.75,M,-SN,M
PKD,2019-02-24 15:35,-95.0700,46.9000,M,M,320.00,24.00,M,0.75,31.00,-SN,M
AXN,2019-02-24 15:35,-95.3947,45.8663,M,M,320.00,26.00,M,1.75,32.00,HZ,M
GPZ,2019-02-24 15:35,-93.5097,47.2111,M,M,310.00,21.00,M,1.50,M,-SN,M
MIC,2019-02-24 15:35,-93.3539,45.0620,M,M,290.00,16.00,M,7.00,23.00,M,M
FCM,2019-02-24 15:35,-93.4700,44.8300,M,M,300.00,22.00,M,10.00,28.00,M,M
TVF,2019-02-24 15:35,-96.1850,48.0657,M,M,320.00,34.00,M,0.24,M,-SN FZFG,M
RWF,2019-02-24 15:35,-95.0820,44.5469,M,M,310.00,25.00,M,1.25,36.00,-SN,M
BRD,2019-02-24 15:35,-94.1308,46.4047,M,M,300.00,20.00,M,5.00,M,HZ,M
DLH,2019-02-24 15:35,-92.1936,46.8421,M,M,310.00,27.00,M,0.75,M,-SN,M
RST,2019-02-24 15:35,-92.4916,43.9041,M,M,290.00,31.00,M,0.25,39.00,FZFG,M
INL,2019-02-24 15:35,-93.3981,48.5614,M,M,290.00,17.00,M,1.50,M,-SN BR,M
OTG,2019-02-24 15:35,-95.5792,43.6551,M,M,300.00,28.00,M,0.50,M,-SN FZFG,M
Y49,2019-02-24 15:35,-94.6453,47.1595,-14.78,-18.61,300.00,23.00,M,1.25,35.00,HZ,M
