station,valid,lon[unit="degrees_east"],lat[unit="degrees_north"],tmpc[unit="Celsius"],dwpc[unit="Celsius"],drct[unit="degrees"],sknt[unit="knots"],mslp[unit="hectoPascal"],vsby[unit="US_statute_mile"],gust[unit="knots"],wxcodes,gustmax[unit="knots"]
21D,2019-02-24 15:35,-92.8557,44.9975,-8.00,-12.00,290.00,15.00,M,3.00,M,-SN,M
HCD,2019-02-24 15:35,-94.3825,44.8599,-10.50,-13.00,290.00,25.00,M,0.50,31.00,-SN,M
LVN,2019-02-24 15:35,-93.2273,44.6252,-9.00,-12.00,280.00,28.00,M,1.00,36.00,HZ,M
BDE,2019-02-24 15:35,-94.6122,48.7284,M,M,310.00,26.00,M,0.50,32.00,SN,M
JKJ,2019-02-24 15:35,-96.6640,46.8393,-16.00,-19.00,320.00,25.00,M,1.00,33.00,HZ,M
BFW,2019-02-24 15:35,-91.4098,47.2521,-4.00,-8.00,290.00,11.00,M,2.50,23.00,-SN,M
BBB,2019-02-24 15:35,-95.6506,45.3319,-13.00,-15.00,350.00,34.00,M,0.25,42.00,-SN,M
ONA,2019-02-24 15:35,-91.7083,44.0772,-8.00,-11.00,290.00,17.00,M,2.50,28.00,-SN,M
CQM,2019-02-24 15:35,-92.6894,47.8219,-11.00,-14.00,290.00,16.00,M,2.00,25.00,-SN,M
LJF,2019-02-24 15:35,-94.5072,45.0971,-11.00,-14.00,300.00,19.00,M,3.00,33.00,HZ,M
D39,2019-02-24 15:35,-94.9334,45.7066,-13.28,-16.61,310.00,24.00,M,0.75,34.00,-SN,M
AEL,2019-02-24 15:35,-93.3672,43.6815,-12.00,-12.00,290.00,23.00,M,0.50,32.00,-SN,M
VWU,2019-02-24 15:35,-94.5167,48.1539,-14.00,-17.00,300.00,14.00,M,7.00,21.00,M,M
04W,2019-02-24 15:35,-92.8952,46.0229,-7.00,-11.00,290.00,12.00,M,4.00,19.00,-SN,M
CFE,2019-02-24 15:35,-93.8433,45.1590,-9.78,-14.00,M,M,M,1.75,M,HZ,M
SYN,2019-02-24 15:35,-93.0163,44.4755,-9.72,-13.00,280.00,23.00,M,1.75,M,HZ,M
FGN,2019-02-24 15:35,-94.9028,49.3183,-18.00,-21.00,320.00,30.00,M,1.00,37.00,-SN,M
DXX,2019-02-24 15:35,-96.1779,44.9864,-11.00,-14.00,300.00,22.00,M,2.00,29.00,HZ,M
DTL,2019-02-24 15:35,-95.8856,46.8252,-16.00,-18.00,320.00,26.00,M,0.75,35.00,BR,M
GHW,2019-02-24 15:35,-95.3204,45.6439,-13.00,-16.00,300.00,28.00,M,0.75,36.00,HZ,M
14Y,2019-02-24 15:35,-94.8739,45.8983,-13.00,-16.00,320.00,19.00,M,0.75,31.00,-SN,M
RRT,2019-02-24 15:35,-95.3483,48.9414,-16.00,-20.00,300.00,21.00,M,0.50,29.00,-SN,M
PQN,2019-02-24 15:35,-96.3004,43.9821,-15.00,-17.00,320.00,20.00,M,1.00,29.00,-SN,M
PWC,2019-02-24 15:35,-94.3817,46.7248,-13.00,-18.00,310.00,15.00,M,2.50,26.00,-SN,M
RGK,2019-02-24 15:35,-92.4868,44.5915,-8.00,-13.00,300.00,18.00,M,1.75,27.00,-SN,M
ADC,2019-02-24 15:35,-95.2109,46.4503,-16.00,-19.00,300.00,23.00,M,1.75,32.00,HZ,M
AIT,2019-02-24 15:35,-93.6768,46.5484,-11.00,-15.00,280.00,14.00,M,10.00,21.00,M,M
MJQ,2019-02-24 15:35,-94.9865,43.6500,-12.00,-15.00,290.00,27.00,M,0.50,35.00,-SN,M
Y63,2019-02-24 15:35,-95.9920,45.9861,-14.89,-16.72,290.00,35.00,M,0.50,42.00,-SN,M
HZX,2019-02-24 15:35,-93.3098,46.6188,-9.00,-13.00,300.00,19.00,M,2.00,28.00,M,M
HCO,2019-02-24 15:35,-96.9430,48.7527,-18.00,-21.00,330.00,27.00,M,0.25,34.00,SN,M
ELO,2019-02-24 15:35,-91.8371,47.8287,-8.00,-11.00,290.00,23.00,M,1.50,29.00,-SN,M
ULM,2019-02-24 15:35,-94.5000,44.3200,-11.00,-14.00,300.00,25.00,M,0.50,41.00,-SN,M
TWM,2019-02-24 15:35,-91.7450,47.0492,-7.00,-11.00,280.00,16.00,M,2.00,27.00,-SN,M
DYT,2019-02-24 15:35,-92.0434,46.7219,-6.00,-8.00,290.00,26.00,M,1.25,35.00,-SN,M
VVV,2019-02-24 15:35,-96.4244,45.3057,-13.00,-16.00,300.00,23.00,M,1.75,34.00,HZ,M
GYL,2019-02-24 15:35,-94.0812,44.7560,-9.78,-12.72,280.00,20.00,M,2.00,28.00,HZ,M
JMR,2019-02-24 15:35,-93.2718,45.8861,-8.00,-13.00,310.00,15.00,M,5.00,22.00,HZ,M
MVE,2019-02-24 15:35,-95.7103,44.9691,-12.00,-15.00,340.00,21.00,M,1.50,32.00,HZ,M
MOX,2019-02-24 15:35,-95.9672,45.5660,-13.00,-16.00,320.00,31.00,M,0.75,41.00,M,M
3N8,2019-02-24 15:35,-95.9281,47.2605,-17.50,-20.00,320.00,27.00,M,0.50,30.00,-SN,M
MWM,2019-02-24 15:35,-95.1094,43.9134,-12.00,-14.00,290.00,28.00,M,0.50,35.00,-SN,M
SGS,2019-02-24 15:35,-93.0329,44.8571,-8.61,-13.22,290.00,15.00,M,7.00,23.00,M,M
CKN,2019-02-24 15:35,-96.6214,47.8417,-17.00,-19.00,330.00,28.00,M,0.25,33.00,-SN,M
TKC,2019-02-24 15:35,-95.6072,44.2491,-11.72,-14.00,310.00,27.00,M,0.25,38.00,-SN,M
TOB,2019-02-24 15:35,-92.8315,44.0180,-12.00,-14.00,280.00,23.00,M,M,32.00,M,M
CKC,2019-02-24 15:35,-90.3829,47.8383,-4.00,-8.00,310.00,15.00,M,0.50,24.00,-SN,M
CBG,2019-02-24 15:35,-93.2642,45.5575,-8.00,-14.00,290.00,17.00,M,4.00,24.00,HZ,M
MZH,2019-02-24 15:35,-92.8048,46.4186,-8.00,-12.00,310.00,17.00,M,1.25,29.00,-SN,M
9MN,2019-02-24 15:35,-92.4831,44.0198,-10.78,-12.50,280.00,23.00,M,M,32.00,M,M
GDB,2019-02-24 15:35,-95.5560,44.7533,-10.22,-12.50,290.00,31.00,M,0.50,37.00,-SN,M
LYV,2019-02-24 15:35,-96.2158,43.6212,-15.00,-17.00,300.00,22.00,M,0.50,31.00,HZ,M
PNM,2019-02-24 15:35,-93.6082,45.5599,-9.00,-14.00,280.00,16.00,M,0.25,29.00,+SN,M
FSE,2019-02-24 15:35,-95.7735,47.5928,-18.00,-22.00,310.00,20.00,M,0.75,28.00,HZ,M
BIS,2019-02-24 15:35,-100.7458,46.7727,M,M,310.00,22.00,M,10.00,27.00,M,M
GFK,2019-02-24 15:35,-97.1761,47.9492,M,M,330.00,27.00,M,1.50,M,M,M
JMS,2019-02-24 15:35,-98.6800,46.9300,M,M,320.00,25.00,M,1.00,30.00,BR,M
ISN,2019-02-24 15:35,-103.6366,48.1738,M,M,300.00,6.00,M,10.00,M,M,M
MOT,2019-02-24 15:35,-101.2803,48.2594,M,M,300.00,23.00,M,10.00,M,M,M
HEI,2019-02-24 15:35,-102.6560,46.0149,M,M,310.00,19.00,M,4.00,M,HZ,M
DVL,2019-02-24 15:35,-98.9083,48.1146,M,M,320.00,25.00,M,1.00,M,-SN,M
FAR,2019-02-24 15:35,-96.8111,46.9253,M,M,320.00,27.00,M,0.75,M,M,M
BAC,2019-02-24 15:35,-98.0180,46.9412,M,M,M,M,M,M,M,M,M
7L2,2019-02-24 15:35,-100.2456,46.2206,-19.00,-24.00,300.00,21.00,M,2.00,27.00,HZ,M
5H4,2019-02-24 15:35,-99.9317,47.7912,-20.00,-22.00,310.00,23.00,M,1.00,29.00,-SN,M
46D,2019-02-24 15:35,-99.1513,47.4511,-17.00,-20.00,310.00,29.00,M,0.50,35.00,HZ,M
06D,2019-02-24 15:35,-99.6208,48.8844,-20.00,-23.00,320.00,24.00,M,0.25,32.00,-SN,M
20U,2019-02-24 15:35,-103.9821,46.9252,-24.00,-27.00,300.00,14.00,M,10.00,M,M,M
9D7,2019-02-24 15:35,-99.2364,48.4800,-18.00,-21.00,320.00,22.00,M,5.00,M,HZ,M
08D,2019-02-24 15:35,-102.4064,48.3008,-24.00,-27.00,310.00,14.00,M,10.00,19.00,M,M
2D5,2019-02-24 15:35,-98.0799,46.1731,-17.00,-19.00,310.00,23.00,M,0.50,M,FZFG,M
Y19,2019-02-24 15:35,-100.8944,46.7680,-20.00,-23.00,320.00,22.00,M,1.75,36.00,HZ,M
HZE,2019-02-24 15:35,-101.5810,47.2899,-20.00,-23.00,310.00,22.00,M,1.75,28.00,HZ,M
D55,2019-02-24 15:35,-98.3937,48.7531,-19.00,-21.00,340.00,20.00,M,3.00,M,BR,M
2C8,2019-02-24 15:35,-97.6320,48.7837,-19.00,-22.00,330.00,22.00,M,0.25,35.00,HZ,M
RUG,2019-02-24 15:35,-100.0243,48.3904,-20.00,-23.00,310.00,25.00,M,0.75,30.00,HZ,M
96D,2019-02-24 15:35,-97.9028,48.9406,-19.00,-23.00,330.00,21.00,M,2.00,28.00,HZ,M
S32,2019-02-24 15:35,-98.1059,47.4228,-16.00,-19.00,320.00,25.00,M,1.25,34.00,HZ,M
D50,2019-02-24 15:35,-103.2973,48.9285,-25.00,-28.00,300.00,16.00,M,3.00,M,HZ,M
D60,2019-02-24 15:35,-102.8974,48.3803,-25.00,-27.00,320.00,15.00,M,3.00,M,HZ,M
S25,2019-02-24 15:35,-103.2552,47.7966,-22.00,-26.00,300.00,11.00,M,10.00,17.00,M,M
GWR,2019-02-24 15:35,-97.6435,46.2187,-15.00,-18.00,310.00,22.00,M,0.75,28.00,HZ,M
GAF,2019-02-24 15:35,-97.3709,48.4047,-18.00,-20.00,320.00,28.00,M,0.50,36.00,HZ,M
D57,2019-02-24 15:35,-101.8602,46.8128,-20.00,-25.00,300.00,17.00,M,3.00,27.00,HZ,M
MHE,2019-02-24 15:35,-98.0386,43.7748,M,M,310.00,24.00,M,1.75,M,M,M
BKX,2019-02-24 15:35,-96.8169,44.3048,M,M,310.00,24.00,M,1.25,M,HZ,M
ATY,2019-02-24 15:35,-97.1547,44.9140,M,M,310.00,25.00,M,0.50,32.00,UP,M
ICR,2019-02-24 15:35,-99.8422,43.3903,M,M,320.00,26.00,M,4.00,32.00,HZ,M
RAP,2019-02-24 15:35,-103.0574,44.0453,M,M,360.00,14.00,M,10.00,M,M,M
IEN,2019-02-24 15:35,-102.5110,43.0225,M,M,70.00,3.00,M,M,M,M,M
CUT,2019-02-24 15:35,-103.6114,43.7331,M,M,360.00,3.00,M,10.00,M,M,M
PHP,2019-02-24 15:35,-101.6000,44.0500,M,M,330.00,15.00,M,10.00,M,M,M
HON,2019-02-24 15:35,-98.2286,44.3852,M,M,310.00,25.00,M,1.25,31.00,M,M
YKN,2019-02-24 15:35,-97.3859,42.9167,M,M,300.00,27.00,M,0.75,M,-SN,M
PIR,2019-02-24 15:35,-100.2860,44.3827,M,M,300.00,27.00,M,1.75,M,M,M
ABR,2019-02-24 15:35,-98.4200,45.4500,M,M,310.00,21.00,M,2.50,26.00,HZ,M
FSD,2019-02-24 15:35,-96.7536,43.5769,M,M,310.00,25.00,M,1.00,30.00,BR,M
MDS,2019-02-24 15:35,-97.0859,44.0160,-17.00,-17.00,320.00,29.00,M,0.50,36.00,SN,M
9V9,2019-02-24 15:35,-99.3183,43.7667,-15.50,-19.50,300.00,20.00,M,5.00,26.00,HZ,M
SPF,2019-02-24 15:35,-103.7830,44.4803,-15.00,-20.00,300.00,12.00,M,10.00,20.00,M,M
